PSRJ,P0,P1
J0002+6216,0.115363568,5.97E-15
J0006+1834,0.69374767,2.10E-15
J0007+7303,0.315873191,3.60E-13
J0014+4746,1.240699039,5.64E-16
J0021-0909,2.314130829,1.04E-15
J0023+0923,0.003050203,1.14E-20
J0024-7204C,0.00575678,-4.99E-20
J0024-7204D,0.005357573,-3.42E-21
J0024-7204E,0.003536329,9.85E-20
J0024-7204F,0.002623579,6.45E-20
J0024-7204G,0.004040379,-4.22E-20
J0024-7204H,0.003210341,-1.83E-21
J0024-7204I,0.003484992,-4.59E-20
J0024-7204J,0.002100634,-9.79E-21
J0024-7204L,0.004346168,-1.22E-19
J0024-7204M,0.003676643,-3.84E-20
J0024-7204N,0.003053954,-2.19E-20
J0024-7204O,0.002643343,3.03E-20
J0024-7204P,0.003643021,6.64E-19
J0024-7204Q,0.004033181,3.40E-20
J0024-7204R,0.003480463,1.48E-19
J0024-7204S,0.002830406,-1.21E-19
J0024-7204T,0.00758848,2.94E-19
J0024-7204U,0.004342827,9.52E-20
J0024-7204W,0.002352345,-8.66E-20
J0024-7204X,0.004771523,1.84E-20
J0024-7204Y,0.002196657,-3.52E-20
J0024-7204Z,0.004554447,-4.54E-21
J0024-7204ab,0.003704639,9.82E-21
J0026+6320,0.318357771,1.51E-16
J0030+0451,0.004865453,1.02E-20
J0034-0534,0.001877182,4.97E-21
J0034-0721,0.942950995,4.08E-16
J0038-2501,0.256926458,7.60E-19
J0040+5716,1.118225345,2.88E-15
J0045-7042,0.6323358,2.49E-15
J0045-7319,0.926275905,4.46E-15
J0048+3412,1.217094296,2.35E-15
J0051+0423,0.354731799,7.00E-18
J0054+6946,0.832911329,7.19E-16
J0055+5117,2.115171149,9.54E-15
J0056+4756,0.472036662,3.33E-15
J0057-7201,0.738062443,1.00E-16
J0058+4950,0.996023452,8.04E-16
J0058-7218,0.021766108,2.89E-14
J0100+8023,1.493600919,3.54E-16
J0100-7211,8.020392,1.88E-11
J0101-6422,0.002573152,5.16E-21
J0102+4839,0.00296,1.17E-20
J0102+6537,1.679164229,5.95E-15
J0106+4855,0.083157305,4.28E-16
J0107+1322,1.197383394,6.87E-16
J0108+6608,1.283659843,1.31E-14
J0108+6905,1.07111811,4.81E-17
J0108-1431,0.807564614,7.70E-17
J0111+6624,4.301872101,8.36E-15
J0111-7131,0.688541512,7.09E-15
J0113-7220,0.325883016,4.86E-15
J0115+6325,0.521455427,1.60E-15
J0117+5914,0.101439066,5.85E-15
J0122+1416,1.38899395,3.80E-15
J0131-7310,0.348124046,1.76E-15
J0133-6957,0.463473742,1.20E-16
J0134-2937,0.136961611,7.84E-17
J0137+1654,0.414763027,1.22E-17
J0137+6349,0.717962727,9.60E-16
J0139+3336,1.247960956,2.06E-15
J0139+5621,1.775343826,7.91E-14
J0139+5814,0.272450631,1.07E-14
J0141+6009,1.222948521,3.91E-16
J0146+6145,8.688994062,1.99E-12
J0147+5922,0.196321375,2.57E-16
J0151-0635,1.464664549,4.43E-16
J0152+0948,2.74664729,1.70E-15
J0152-1637,0.832741613,1.30E-15
J0154+1833,0.00236457,2.92E-21
J0156+3949,1.811560611,1.52E-16
J0157+6212,2.351744936,1.89E-13
J0201+7005,1.349184472,5.51E-15
J0205+6449,0.065715928,1.94E-13
J0206-4028,0.63055126,1.20E-15
J0209+5759,1.063906283,1.39E-14
J0210+5845,1.766208099,1.34E-13
J0211-8159,1.077332701,2.90E-16
J0212+5222,0.376386364,6.60E-15
J0214+5222,0.024575295,2.99E-19
J0215+6218,0.548879819,6.62E-16
J0218+4232,0.002323091,7.74E-20
J0231+7026,1.466820306,3.11E-15
J0248+4230,0.002600835,1.69E-20
J0248+6021,0.21709398,5.51E-14
J0250+5854,23.53537848,2.72E-14
J0251+2606,0.002541554,7.57E-21
J0255-5304,0.447708473,3.13E-17
J0302+2252,1.20716484,8.25E-17
J0304+1932,1.387584446,1.30E-15
J0312-0921,0.003704,1.97E-20
J0318+0253,0.005189852,1.76E-20
J0323+3944,3.032071956,6.36E-16
J0324+5239,0.33662023,3.81E-16
J0325+6744,1.364678767,1.55E-15
J0329+1654,0.893319661,2.15E-16
J0332+5434,0.7145197,2.05E-15
J0335+4555,0.269200541,7.35E-18
J0335+6623,1.761934247,4.81E-15
J0337+1715,0.002732589,1.77E-20
J0340+4130,0.003299339,7.05E-21
J0343+5312,1.934478067,1.34E-14
J0343-3000,2.597027157,5.70E-17
J0344-0901,1.226005573,3.47E-15
J0348+0432,0.039122657,2.41E-19
J0349+2340,2.420770978,1.10E-15
J0357+3205,0.444104499,1.30E-14
J0357+5236,0.197030098,4.77E-16
J0358+4155,0.226484332,1.46E-16
J0358+5413,0.156384122,4.39E-15
J0358+6627,0.091505781,1.09E-17
J0359+5414,0.079427232,1.67E-14
J0401-7608,0.545254187,1.54E-15
J0402+4825,0.512194449,2.75E-16
J0406+6138,0.594576165,5.57E-15
J0407+1607,0.025701739,7.90E-20
J0415+6954,0.39071509,7.66E-17
J0418+5732,9.07838822,4.10E-15
J0418-4154,0.757118945,1.32E-15
J0420-5022,3.453004027,2.76E-14
J0421+3255,0.900105016,6.00E-17
J0421-0345,2.161308495,1.16E-15
J0426+4933,0.92247473,3.93E-14
J0435+2749,0.326279453,8.17E-18
J0437-4715,0.005757452,5.73E-20
J0448-2749,0.450448331,1.48E-16
J0449-7031,0.479163971,3.37E-15
J0450-1248,0.438014149,1.03E-16
J0451-67,0.24545429,0
J0452-1759,0.548939223,5.75E-15
